REGION,Key,Area,CENSUS_2010_TOTAL_POPULATION,CENSUS_2010_STATE_DENSITY,CENSUS_2010_RANK,2020_STATE_DENSITY,STATE_LAND_AREA,Major_City_CBSA_Title,CBSA Code,CBSA_Major_City_Population_2010,CBSA_Major_City_max_weighted_density,CBSA_Major_City_mean_pop_density,Covid_Positive_3_31,Covid_Negative_3_31,Covid_Pending_3_31,Covid_Hospitalized_3_31,Covid_Death_3_31,Covid_Positive_4_4,Data_Grade_4_4,Covid_Score_4_4,Covid_Negative,Covid_Pending_4_4,Covid_Hospitalized_Currently_4_4,Covid_Hospitalized_Cumulative_4_4,Covid_ICU_Currently_4_4,Covid_ICU_Cumulative_4_4,Covid_Ventilator_Currently_4_4,Covid_Ventilator_Cumulative_4_4,Covid_Recovered,Covid_Death_4_4,Covid_Hospitalized_4_4,Covid_Total_Test_Results,Covid_posNeg_4_4,fips,FLUVIEW_TOTAL_INFLUENZA_DEATHS_Season_2018,FLUVIEW_TOTAL_PNEUMONIA_DEATHS_Season_2018,Kaiser_Total_Hospital_Beds,Kaiser_Beds_per_1000_Population,Kaiser_Total_CHCs,Kaiser_CHC_Service_Delivery_Sites,BRFSS_Asthma_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Asthma,BRFSS_Age_55_64_Asthma_Rate,BRFSS_Age_65_plus_Asthma_Rate,BRFSS_COPD_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Lung_Disease,BRFSS_Age_55_64_COPD_Rate,BRFSS_Age_65_plus_COPD_Rate,BRFSS_Heart_Disease_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Heart_Disease,BRFSS_Age_55_64_Heart_Disease_Rate,BRFSS_Age_65_plus_Heart_Disease_Rate,BRFSS_2017_High_Cholestoral_Prevalance,BRFSS_2017_High_Blood_Pressure_Prevalance,BRFSS_Diabetes_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Metabolic_Disorders,BRFSS_Age_55_64_Diabetes_Rate,BRFSS_Age_65_plus_Diabetes_Rate,BRFSS_Obesity BMI Prevalance,Fluview_US_FLU_Hospitalization_Rate_Obesity,BRFSS_Age_55_64_Obesity_Rate,BRFSS_Age_65_plus_Obesity_Rate,BRFSS_Kidney_Disease_Prevalance,Fluview_US_FLU_Hospitalization_Rate_Kidney_Disease,BRFSS_Age_55_64_Kidney_Disease_Rate,BRFSS_Age_65_plus__Kidney_Disease_Rate,BRFSS_Other_Cancer_Prevalance,BRFSS_55_64_Other_Cancer_Rate,BRFSS_65_plus_Other_Cancer_Rate,Census_Population_Over_60,Census_Population_Over_60_Employment_Rate,Census_Total_Population_Over_16_Estimate,Census_Total_Workers_Over_16_Estimate,COMMUTE_Census_Worker_Drive_To_Work_Rate,COMMUTE_Census_Worker_Carpool_To_Work_Rate,COMMUTE_Census_Worker_Public_Transportation_Rate,COMMUTE_Census_Worker_Walk_Rate,COMMUTE_Census_Worker_Taxicab_Motorcycle_Bicycle_Other_Rate,COMMUTE_Census_Work_At_Home_Rate,HOUSEHOLD_UNITS,UNITS_IN_STRUCTURE_5_to_9_apartments,UNITS_IN_STRUCTURE_10_or_more_apartments,OCCUPANTS_PER_ROOM_1.0_To_1.50,OCCUPANTS_PER_ROOM_1.51_Plus,FAMILY_HOUSEHOLDS_Householder_65_Plus,NONFAMILY_Householder_Living_Alone_65_Plus,INDUSTRY_Agriculture_Forestry_Fishing_Hunting,INDUSTRY_Construction,INDUSTRY_Manufacturing,INDUSTRY_Wholesale_Trade,INDUSTRY_Retail_Trade,INDUSTRY_Transportation_Warehousing,INDUSTRY_Professional_Scientific_Technical,INDUSTRY_Management_Companies_Enterprises,INDUSTRY_Administrative_Support _Waste_Management,INDUSTRY_Educational_Services,INDUSTRY_Health_Care_Social_Assistance,INDUSTRY_Arts_Entertainment_Recreation,INDUSTRY_Accommodation_Food_Services,Occupation_Total_Management_Business_Science_Arts,Occupation_Total_Management_Business_Financial,OCCUPATION_Management,OCCUPATION_Business _Financial_Operations,Occupation_Total_Computer_Engineering_Science,OCCUPATION_Computer_Mathematical,OCCUPATION_Architecture_Engineering,OCCUPATION_Life_Physical_Social_Science,Occupation_Total_Education_Legal_Community_Service_Arts_Media,OCCUPATION_Community_Social Service,OCCUPATION_Legal,OCCUPATION_Educational_Instruction_Library,OCCUPATION_Arts_Design_Entertainment_Sports_Media,Occupation_Total_Healthcare_Practitioners_Technical,OCCUPATION_Health_Diagnosing_Treating_Practitioners_Other_Technical,OCCUPATION_Health_Technologists,Occupation_Total_Service,OCCUPATION_Healthcare_Support,Occupation_Total_Protective_Service,OCCUPATION_Firefighter_Other Protective Service,OCCUPATION_Law_Enforcement,OCCUPATION_Food_Preparation_Service,OCCUPATION_Building_Grounds_Cleaning _Maintenance,OCCUPATION_Personal care_Service,Occupation_Total_Sales_Office,OCCUPATION_Sales,OCCUPATION_Office,Occupation_Total_Natural_Resources_Construction_Maintenance,OCCUPATION_Farming_Fishing_Forestry,OCCUPATION_Construction_Extraction,OCCUPATION_Installation_Maintenance_Repair,Occupation_Total_Production_Transportation_Material_Moving,OCCUPATION_Production,OCCUPATION_Transportation,OCCUPATION_Material_Moving
Alabama,1,South,4779736,94.4,29,97,50645,"Mobile, AL Metro Area",33660,412992,1659.3,1056.681818,981,6298,NA,NA,13,1580,B,3,9273,NA,NA,212,NA,NA,NA,NA,NA,43,212,10853,10853,1,94,2863,15278,3.13,15,144,0.105,0.194,0.012495,0.010185,0.103,0.295,0.017304,0.016892,0.061,0.513,0.006527,0.008357,0.372,0.419,0.145,0.448,0.03625,0.042195,0.362,0.361,0.158194,0.115116,0.04,0.216,0.00228,0.00304,0.081,0.00891,0.015471,1149135,0.24,3854015,2055708,0.86,0.08,0,0.01,0.01,0.03,1855184,76182,117446,21718,11238,231121,215966,19856,148005,295039,54251,233006,88947,123081,2015,86428,184971,281868,30906,148877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,2,West,710231,1.2,52,1,570641,"Anchorage, AK Metro Area",11260,380821,3006.9,2035,119,3594,NA,7,3,171,A,4,5869,NA,NA,16,NA,NA,NA,NA,NA,5,16,6040,6040,2,19,221,1636,2.23,27,193,0.092,0.194,0.009568,0.006992,0.059,0.295,0.004956,0.007434,0.031,0.513,0.002046,0.002914,0.313,0.318,0.088,0.448,0.011,0.015488,0.295,0.361,0.09853,0.08024,0.025,0.216,NA,0.00155,0.062,0.00434,0.010168,134012,0.35,548676,337552,0.68,0.12,0.01,0.08,0.06,0.05,254551,10880,19475,9989,6653,23151,20618,5655,19458,15461,4935,37178,25233,20577,1352,8964,31445,50966,7223,27750,130611,51590,35405,16185,19990,6610,7872,5508,38939,7989,3281,21185,6484,20092,14487,5605,63120,12451,7706,3762,3944,20186,12172,10605,69643,28574,41069,39585,4541,19922,15122,42810,12779,17663,12368
Arizona,3,West,6392017,56.3,35,65,113594,"Phoenix-Mesa-Glendale, AZ Metro Area",38060,4192887,4394.9,1838.788889,1289,18082,NA,78,24,2019,B,3,25141,NA,NA,297,NA,104,NA,NA,NA,52,297,27160,27160,4,116,3425,13846,1.93,20,188,0.1,0.194,0.0128,0.009,0.071,0.295,0.0071,0.010011,0.043,0.513,0.002322,0.005289,0.334,0.307,0.108,0.448,0.017928,0.02322,0.295,0.361,0.10443,0.076995,0.036,0.216,0.001944,0.002844,0.076,0.006308,0.01368,1695429,0.24,5608516,3155343,0.76,0.11,0.02,0.02,0.03,0.07,2614298,104610,308728,79746,38372,361862,295472,26081,220968,222616,70654,375214,145650,208434,5328,192516,284580,412933,80340,280358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,4,South,2915918,56,36,58,52035,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",22220,463204,1114.8,931.6666667,523,5959,NA,64,8,743,A,4,9627,NA,72,NA,NA,NA,23,NA,79,14,NA,10370,10370,5,107,2091,9517,3.16,12,142,0.098,0.194,0.0098,0.007938,0.098,0.295,0.01715,0.015484,0.064,0.513,0.006272,0.009856,0.368,0.414,0.139,0.448,0.03058,0.035445,0.371,0.361,0.149513,0.111671,0.037,0.216,0.001332,0.002331,0.087,0.008787,0.016704,695572,0.25,2336993,1297409,0.83,0.1,0,0.02,0.01,0.04,1156347,36706,78543,22084,11351,144001,129177,31632,88455,187817,31588,169215,64011,51498,2539,47324,117764,205669,16127,89347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,5,West,37253956,239.1,13,256,155779,"San Francisco-Oakland-Fremont, CA Metro Area",41860,4335391,12144.9,4684.784615,7482,21772,57400,1617,153,12026,B,3,101674,13000,2300,NA,1008,NA,NA,NA,NA,276,NA,113700,113700,6,631,18179,72511,1.84,177,1740,0.085,0.194,0.00782,0.00799,0.046,0.295,0.003082,0.004554,0.032,0.513,0.001536,0.002784,0.308,0.284,0.104,0.448,0.01768,0.024752,0.258,0.361,0.077658,0.062436,0.029,0.216,0.001073,0.00203,0.058,0.004582,0.009686,7963713,0.29,31085639,18399115,0.74,0.1,0.05,0.03,0.03,0.06,13072122,799663,2274912,690380,390607,1409512,1249751,405765,1244438,1675905,522242,1969641,924695,1678040,31903,891957,1589705,2362854,523419,1466850,7414643,3032979,1976847,1056132,1332842,698428,427283,207131,2072682,306312,217788,1001002,547580,976140,660451,315689,3514097,675791,376482,235004,141478,1085584,793978,582262,3965290,1909112,2056178,1711879,291203,948247,472429,2324103,898100,711806,714197
Colorado,6,West,5029196,48.5,39,56,103642,"Denver-Aurora-Broomfield, CO Metro Area",19740,2543482,4803.7,3023.157143,2627,12737,NA,414,51,4173,A,4,17898,NA,NA,823,NA,NA,NA,NA,NA,111,823,22071,22071,8,151,2056,10574,1.86,20,215,0.091,0.194,0.008554,0.007917,0.044,0.295,0.00308,0.004488,0.027,0.513,0.001053,0.002268,0.303,0.259,0.07,0.448,0.00798,0.01141,0.23,0.361,0.06164,0.05014,0.022,0.216,0.00066,0.001254,0.064,0.005056,0.011328,1156858,0.32,4479249,2930149,0.75,0.09,0.03,0.03,0.02,0.09,2176757,95460,360530,36941,17404,229059,211903,34253,244390,194121,68555,330730,118305,289236,6390,123997,269062,357521,76058,235797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,7,Northeast,3574097,738.1,6,736,4842,"Bridgeport-Stamford-Norwalk, CT Metro Area",14860,916829,5122.4,3477.475,3128,13029,NA,608,69,5276,A,4,16753,NA,1033,NA,NA,NA,NA,NA,NA,165,NA,22029,22029,9,90,1917,7194,2.01,16,290,0.103,0.194,0.010918,0.009682,0.053,0.295,0.004187,0.005618,0.037,0.513,0.001924,0.003737,0.323,0.305,0.097,0.448,0.015229,0.019497,0.274,0.361,0.085488,0.072062,0.026,0.216,0.001014,0.00143,0.075,0.0078,0.01365,865770,0.34,2884868,1785761,0.78,0.08,0.05,0.03,0.01,0.06,1378091,72985,168854,18899,6991,158593,168018,7236,111277,193491,42558,197200,67846,137063,2884,71191,194338,279166,44762,108378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,8,South,897934,460.8,8,504,1949,"Dover, DE Metro Area",20100,162310,912.7,912.7,406,3696,NA,64,10,593,A,4,5874,NA,95,NA,NA,NA,NA,NA,71,14,NA,6467,6467,10,23,464,2101,2.18,3,17,0.101,0.194,0.010302,0.007272,0.07,0.295,0.00819,0.0084,0.043,0.513,0.002193,0.00516,0.346,0.349,0.119,0.448,0.022967,0.026061,0.335,0.361,0.128305,0.108875,0.037,0.216,0.001739,0.002257,0.075,0.007575,0.0132,248295,0.28,773385,449293,0.8,0.09,0.02,0.02,0.01,0.06,367671,11967,36880,5138,1698,52762,40163,5941,30425,40645,9328,56067,20050,26141,1309,16024,48879,65147,9420,34078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,9,South,601723,9856.5,1,11815,61,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",47900,5582170,6388.1,6388.1,495,3262,2,NA,9,902,A,4,5536,NA,NA,NA,NA,NA,NA,NA,235,21,NA,6438,6438,11,8,273,3114,4.44,8,66,0.116,0.194,0.016588,0.010788,0.053,0.295,0.00742,0.005353,0.025,0.513,0.001375,0.002025,0.279,0.264,0.084,0.448,0.016212,0.01722,0.247,0.361,0.074841,0.062244,0.026,0.216,0.001196,0.001664,0.053,0.005141,0.009858,118779,0.31,576927,375487,0.34,0.05,0.35,0.13,0.07,0.06,287476,23720,129657,4506,4747,13335,33166,1050,10184,4768,1623,16725,10504,75591,868,14421,33771,37860,11062,25929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,10,South,18801310,350.6,10,410,53625,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",33100,5564635,7395.3,2170.39,6338,54285,1163,823,77,11111,A,4,90956,1281,NA,1462,NA,NA,NA,NA,NA,191,1462,102067,102067,12,341,10939,54744,2.58,47,610,0.087,0.194,0.011049,0.00696,0.083,0.295,0.010707,0.011786,0.052,0.513,0.003952,0.005928,0.359,0.346,0.126,0.448,0.021546,0.029484,0.307,0.361,0.101924,0.085346,0.035,0.216,0.001295,0.002345,0.079,0.006478,0.015168,5765648,0.24,17262966,9557108,0.79,0.09,0.02,0.01,0.02,0.06,7809358,375828,1331039,163452,74205,1152542,1026882,84070,756277,499441,252602,1204325,509098,687467,16197,594049,725663,1306055,282361,880266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
