GIDTR,State,State_name,County,County_name,Tract,Tot_Housing_Units_CEN_2010,Tot_Housing_Units_ACS_12_16,Tot_Housing_Units_ACSMOE_12_16,Tot_Occp_Units_CEN_2010,Tot_Occp_Units_ACS_12_16,Tot_Occp_Units_ACSMOE_12_16,Tot_Vacant_Units_CEN_2010,Tot_Vacant_Units_ACS_12_16,Tot_Vacant_Units_ACSMOE_12_16,Renter_Occp_HU_CEN_2010,Renter_Occp_HU_ACS_12_16,Renter_Occp_HU_ACSMOE_12_16,Owner_Occp_HU_CEN_2010,Owner_Occp_HU_ACS_12_16,Owner_Occp_HU_ACSMOE_12_16,Single_Unit_ACS_12_16,Single_Unit_ACSMOE_12_16,MLT_U2_9_STRC_ACS_12_16,MLT_U2_9_STRC_ACSMOE_12_16,MLT_U10p_ACS_12_16,MLT_U10p_ACSMOE_12_16,Mobile_Homes_ACS_12_16,Mobile_Homes_ACSMOE_12_16,Crowd_Occp_U_ACS_12_16,Crowd_Occp_U_ACSMOE_12_16,Occp_U_NO_PH_SRVC_ACS_12_16,Occp_U_NO_PH_SRVC_ACSMOE_12_16,No_Plumb_ACS_12_16,No_Plumb_ACSMOE_12_16,Recent_Built_HU_ACS_12_16,Recent_Built_HU_ACSMOE_12_16,Med_House_Value_ACS_12_16,Med_House_Value_ACSMOE_12_16,Aggr_House_Value_ACS_12_16,Aggr_House_Value_ACSMOE_12_16
09005253600,09,Connecticut,005,Litchfield County,253600,1266,1287,64,1121,1149,90,145,138,75,632,629,89,489,520,71,570,88,382,101,335,99,0,12,7,17,36,39,107,66,0,12,264500,14965,168762600,45816774
09005260200,09,Connecticut,005,Litchfield County,260200,1587,1462,112,1400,1224,82,187,238,107,491,298,110,909,926,115,1134,144,235,91,93,59,0,12,13,23,0,12,27,43,0,12,212100,18369,232187200,60815198
09005261100,09,Connecticut,005,Litchfield County,261100,2593,2723,172,1693,1698,109,900,1025,163,522,529,136,1171,1169,151,2303,211,383,161,0,12,37,44,0,12,0,12,119,71,0,12,433800,82755,706547000,160653887
09005262100,09,Connecticut,005,Litchfield County,262100,1775,1975,136,1250,1248,97,525,727,110,272,202,76,978,1046,110,1813,163,162,90,0,12,0,12,16,26,0,12,24,38,0,12,385500,45310,561720000,130346894
09005263200,09,Connecticut,005,Litchfield County,263200,1007,1043,35,628,593,55,379,450,52,135,114,33,493,479,53,991,47,37,23,10,18,3,4,9,14,0,12,15,17,0,12,420100,46284,249015000,38307718
09005265100,09,Connecticut,005,Litchfield County,265100,811,845,34,601,603,49,210,242,47,52,55,23,549,548,49,837,36,8,18,0,12,0,12,3,13,0,12,16,18,0,12,371000,24360,365529900,83298644
09005266100,09,Connecticut,005,Litchfield County,266100,1665,1561,177,1246,1149,148,419,412,103,339,352,104,907,797,162,1267,191,254,120,40,28,0,12,59,61,7,17,7,12,0,12,365800,33700,402424800,95426070
09005267100,09,Connecticut,005,Litchfield County,267100,2124,2268,154,1512,1489,131,612,779,124,331,304,85,1181,1185,131,2099,163,133,72,36,34,0,12,1,16,19,24,9,15,24,39,449500,49096,851147000,164435336
09005268100,09,Connecticut,005,Litchfield County,268100,1167,1210,47,936,951,70,231,259,63,143,156,53,793,795,67,1173,46,14,19,23,30,0,12,0,12,0,12,16,25,0,12,638400,37279,730748800,102423754
09005290100,09,Connecticut,005,Litchfield County,290100,1589,1505,103,1452,1435,99,137,70,56,152,143,70,1300,1292,103,1438,108,53,37,14,26,0,12,0,12,0,12,24,38,0,12,251400,19933,367350000,44966521
09005293100,09,Connecticut,005,Litchfield County,293100,722,829,35,589,588,50,133,241,49,74,62,31,515,526,54,809,47,20,20,0,12,0,12,7,14,4,14,27,21,0,12,270700,19253,159132700,24352776
09005296100,09,Connecticut,005,Litchfield County,296100,1664,1674,121,1192,1069,81,472,605,95,128,72,49,1064,997,84,1647,138,12,22,15,23,0,12,10,20,9,18,0,12,0,12,362600,21804,501789400,152189756
09005298300,09,Connecticut,005,Litchfield County,298300,1172,1140,98,1107,969,77,65,171,84,76,31,37,1031,938,75,1126,99,7,16,0,12,7,10,34,30,13,19,45,48,0,12,235000,17226,237569000,26843728
09005298400,09,Connecticut,005,Litchfield County,298400,1110,1090,87,1063,1053,70,47,37,41,95,43,24,968,1010,71,1052,91,28,24,10,20,0,12,17,23,0,12,0,12,0,12,335700,20501,357239300,36185625
09005300100,09,Connecticut,005,Litchfield County,300100,1381,1430,89,1158,1096,101,223,334,79,273,251,54,885,845,88,1215,101,162,45,53,23,0,12,7,16,26,22,26,23,0,12,335700,24634,300649100,38197536
09005300400,09,Connecticut,005,Litchfield County,300400,917,941,61,786,805,69,131,136,44,148,143,48,638,662,62,845,75,82,42,9,16,5,7,0,12,17,19,0,12,0,12,329100,23897,252721400,35455297
09005300500,09,Connecticut,005,Litchfield County,300500,1677,1766,114,1515,1568,113,162,198,86,348,221,77,1167,1347,99,1407,136,226,87,123,68,10,15,0,12,14,20,9,14,0,12,292400,16976,452962500,57107773
09005303100,09,Connecticut,005,Litchfield County,303100,1314,1290,50,958,936,68,356,354,66,200,140,49,758,796,61,1180,60,91,44,19,33,0,12,0,12,9,16,26,29,0,12,344000,19991,309521300,34537233
09005306100,09,Connecticut,005,Litchfield County,306100,2923,2757,199,2632,2563,175,291,194,108,325,258,136,2307,2305,167,2524,197,221,125,12,25,0,17,15,29,0,17,22,37,0,17,294600,19424,673990800,47308282
09005310100,09,Connecticut,005,Litchfield County,310100,1954,2012,74,1819,1687,137,135,325,121,700,681,120,1119,1006,127,1103,128,707,158,184,93,18,20,20,28,28,46,27,40,0,12,156100,8627,170259200,25436035
09005310200,09,Connecticut,005,Litchfield County,310200,1362,1405,62,1206,1167,108,156,238,94,794,812,121,412,355,88,334,94,959,170,112,58,0,12,75,65,27,36,49,47,0,12,131300,16877,50933500,14633447
09005310300,09,Connecticut,005,Litchfield County,310300,970,989,50,852,732,107,118,257,99,627,497,103,225,235,52,190,57,705,120,94,46,0,12,8,16,55,42,33,32,0,12,98300,23317,34133900,12193782
09005310400,09,Connecticut,005,Litchfield County,310400,1208,1233,53,1150,1099,95,58,134,80,214,228,91,936,871,85,965,83,169,79,99,51,0,12,0,12,10,19,0,12,0,12,163900,9219,141772500,14701292
09005310500,09,Connecticut,005,Litchfield County,310500,919,936,36,873,931,37,46,5,7,239,290,44,634,641,52,704,58,51,32,181,56,0,12,24,26,22,19,0,12,0,12,166000,6467,110248300,11083656
09005310601,09,Connecticut,005,Litchfield County,310601,1387,1409,45,1333,1358,60,54,51,48,43,102,58,1290,1256,69,1252,83,63,50,94,61,0,12,19,26,0,12,0,12,0,12,196800,12449,255829500,18639331
09005310602,09,Connecticut,005,Litchfield County,310602,1955,1996,78,1888,1931,86,67,65,57,383,316,69,1505,1615,98,1771,98,65,56,160,46,0,12,0,12,21,27,45,49,0,12,171000,7093,287972800,18293367
09005310700,09,Connecticut,005,Litchfield County,310700,2458,2399,91,1957,1895,131,501,504,118,414,320,99,1543,1575,144,1594,169,556,161,239,103,10,15,37,32,54,53,0,12,0,12,140300,8820,257539000,30904725
