GIDTR,State,State_name,County,County_name,Tract,Tot_Housing_Units_CEN_2010,Tot_Housing_Units_ACS_12_16,Tot_Housing_Units_ACSMOE_12_16,Tot_Occp_Units_CEN_2010,Tot_Occp_Units_ACS_12_16,Tot_Occp_Units_ACSMOE_12_16,Tot_Vacant_Units_CEN_2010,Tot_Vacant_Units_ACS_12_16,Tot_Vacant_Units_ACSMOE_12_16,Renter_Occp_HU_CEN_2010,Renter_Occp_HU_ACS_12_16,Renter_Occp_HU_ACSMOE_12_16,Owner_Occp_HU_CEN_2010,Owner_Occp_HU_ACS_12_16,Owner_Occp_HU_ACSMOE_12_16,Single_Unit_ACS_12_16,Single_Unit_ACSMOE_12_16,MLT_U2_9_STRC_ACS_12_16,MLT_U2_9_STRC_ACSMOE_12_16,MLT_U10p_ACS_12_16,MLT_U10p_ACSMOE_12_16,Mobile_Homes_ACS_12_16,Mobile_Homes_ACSMOE_12_16,Crowd_Occp_U_ACS_12_16,Crowd_Occp_U_ACSMOE_12_16,Occp_U_NO_PH_SRVC_ACS_12_16,Occp_U_NO_PH_SRVC_ACSMOE_12_16,No_Plumb_ACS_12_16,No_Plumb_ACSMOE_12_16,Recent_Built_HU_ACS_12_16,Recent_Built_HU_ACSMOE_12_16,Med_House_Value_ACS_12_16,Med_House_Value_ACSMOE_12_16,Aggr_House_Value_ACS_12_16,Aggr_House_Value_ACSMOE_12_16
09009125300,09,Connecticut,009,New Haven County,125300,2293,2058,108,2119,1816,141,174,242,140,1160,1093,204,959,723,178,724,186,1241,245,83,87,10,19,176,111,86,114,34,54,0,12,182500,27625,138025000,41749146
09009125400,09,Connecticut,009,New Haven County,125400,1493,1386,75,1376,1228,121,117,158,100,611,465,115,765,763,110,607,145,685,170,94,52,0,12,48,44,45,27,0,12,0,12,184500,24027,142744900,25756248
09009130101,09,Connecticut,009,New Haven County,130101,2169,2046,111,2083,1959,112,86,87,88,770,858,173,1313,1101,153,1194,182,392,153,460,132,0,12,35,55,25,30,0,12,0,12,233500,12596,264181000,43618353
09009130102,09,Connecticut,009,New Haven County,130102,1320,1255,47,1251,1051,79,69,204,83,409,300,75,842,751,93,914,97,179,76,138,62,24,37,0,12,0,12,99,63,0,12,225200,19564,165102600,23037819
09009130200,09,Connecticut,009,New Haven County,130200,3479,3318,138,3320,3053,165,159,265,141,562,573,197,2758,2480,197,2472,198,467,180,379,144,0,17,33,42,30,34,0,17,0,17,291300,20107,697830700,66048982
09009140100,09,Connecticut,009,New Haven County,140100,2268,2650,83,1613,2337,117,655,313,96,1534,2234,112,79,103,47,0,12,263,86,2387,163,0,12,69,41,106,64,0,12,0,12,238100,31365,22528000,11524489
09009140200,09,Connecticut,009,New Haven County,140200,752,773,26,683,725,52,69,48,41,666,707,54,17,18,16,47,48,221,67,505,64,0,12,15,22,13,21,0,12,0,12,271400,167690,,
09009140300,09,Connecticut,009,New Haven County,140300,842,867,34,731,675,77,111,192,67,582,500,86,149,175,64,201,66,574,114,81,42,11,19,31,30,30,34,11,17,0,12,124000,19389,27623000,12350193
09009140400,09,Connecticut,009,New Haven County,140400,1307,1383,54,1088,1193,98,219,190,75,736,856,118,352,337,83,293,81,992,169,98,48,0,12,16,23,65,57,10,17,0,12,201900,58875,70917900,21430714
09009140500,09,Connecticut,009,New Haven County,140500,1290,1328,54,1081,1103,91,209,225,70,762,806,123,319,297,99,240,93,1059,189,0,12,29,43,71,51,75,51,0,12,0,12,141500,19102,45970000,16591013
09009140600,09,Connecticut,009,New Haven County,140600,1844,1855,87,1489,1589,120,355,266,85,1165,1204,148,324,385,96,312,99,1239,201,304,104,0,12,55,45,49,43,40,39,0,12,155200,16320,56204000,15833701
09009140700,09,Connecticut,009,New Haven County,140700,2083,2050,85,1875,1845,115,208,205,94,1719,1600,133,156,245,79,126,68,929,183,995,155,0,12,80,69,78,48,63,58,13,21,179500,20312,44640000,16849764
09009140800,09,Connecticut,009,New Haven County,140800,1630,1690,53,1424,1407,99,206,283,90,1130,1152,116,294,255,80,191,68,1188,184,311,107,0,12,0,12,61,49,18,30,0,12,119400,33908,34294000,12074361
09009140900,09,Connecticut,009,New Haven County,140900,2100,2175,67,1812,1868,128,288,307,110,1479,1458,128,333,410,116,351,101,1415,202,400,128,9,14,0,12,16,22,0,12,0,12,246900,31214,95497100,32582731
09009141000,09,Connecticut,009,New Haven County,141000,1847,1806,68,1728,1743,93,119,63,52,845,932,142,883,811,121,832,115,732,157,242,94,0,12,16,22,8,18,0,12,0,12,295200,27674,245959800,34561946
09009141100,09,Connecticut,009,New Haven County,141100,1152,1162,41,1072,1081,74,80,81,68,276,368,84,796,713,76,856,93,208,81,98,60,0,12,49,30,0,12,0,12,0,12,254200,23564,185836300,32755620
09009141200,09,Connecticut,009,New Haven County,141200,1928,2004,59,1737,1830,85,191,174,65,976,991,126,761,839,124,1026,143,800,148,178,79,0,12,10,21,5,16,30,35,0,12,163700,8560,151463100,26361527
09009141300,09,Connecticut,009,New Haven County,141300,1921,2153,72,1741,1999,108,180,154,89,1464,1696,123,277,303,83,495,126,708,170,950,144,0,17,24,28,42,31,0,17,62,73,155000,13742,50487900,14551187
09009141400,09,Connecticut,009,New Haven County,141400,1938,2009,64,1763,1763,138,175,246,113,1005,922,138,758,841,138,845,162,980,212,184,92,0,12,26,35,29,47,0,12,0,12,200900,17452,168087500,30723777
09009141500,09,Connecticut,009,New Haven County,141500,2911,3039,115,2411,2492,228,500,547,187,1696,1717,258,715,775,181,562,160,2197,310,280,137,0,17,84,96,88,63,15,23,0,17,144500,12010,115044000,27770280
09009141600,09,Connecticut,009,New Haven County,141600,2043,2086,76,1785,1808,153,258,278,116,1388,1520,168,397,288,89,412,103,1214,220,460,129,0,12,36,39,97,61,0,12,7,11,185900,49032,47842500,15485952
09009141800,09,Connecticut,009,New Haven County,141800,1799,1796,79,1600,1666,112,199,130,85,1130,1221,125,470,445,63,407,69,848,169,541,133,0,12,74,51,46,33,25,41,0,12,346600,86326,203465000,36399632
09009141900,09,Connecticut,009,New Haven County,141900,2572,2480,79,2418,2329,134,154,151,126,1791,1636,171,627,693,136,468,111,1690,274,322,125,0,17,0,17,110,80,49,76,0,17,465800,90505,391003000,137151233
09009142000,09,Connecticut,009,New Haven County,142000,2046,1978,75,1909,1699,123,137,279,115,1542,1297,132,367,402,81,252,67,1270,199,456,102,0,12,0,12,98,57,21,34,0,12,432700,46649,165173000,35868407
09009142100,09,Connecticut,009,New Haven County,142100,749,793,26,673,705,45,76,88,37,581,628,48,92,77,27,76,37,456,85,261,70,0,12,32,22,45,31,37,30,0,12,119200,78865,11793000,4416299
09009142200,09,Connecticut,009,New Haven County,142200,1043,964,54,951,873,70,92,91,47,656,582,73,295,291,55,92,36,637,93,218,61,0,12,14,22,27,30,10,17,0,12,298600,95693,94378800,23355419
09009142300,09,Connecticut,009,New Haven County,142300,2115,2263,98,1885,2073,122,230,190,77,1429,1674,158,456,399,142,241,89,1584,244,438,118,0,17,159,81,124,75,18,30,0,17,157200,25539,74593000,35044631
09009142400,09,Connecticut,009,New Haven County,142400,2057,2092,87,1717,1819,140,340,273,114,1321,1473,154,396,346,110,348,110,1558,230,178,89,8,12,176,75,57,53,21,33,0,17,104800,34450,41215500,15019185
09009142500,09,Connecticut,009,New Haven County,142500,2149,2325,69,1935,2129,138,214,196,121,1398,1694,192,537,435,152,407,133,1482,289,436,188,0,17,99,72,36,41,8,12,0,17,183600,36183,72889200,28962607
09009142601,09,Connecticut,009,New Haven County,142601,2478,2569,57,2284,2129,200,194,440,181,1246,1271,244,1038,858,152,991,225,852,242,726,231,0,17,67,52,46,41,0,17,0,17,156400,13477,175647000,58448831
09009142603,09,Connecticut,009,New Haven County,142603,2286,2312,84,2199,2267,112,87,45,73,1861,1919,161,338,348,137,528,163,190,96,1594,206,0,12,0,12,34,40,0,12,0,12,144300,15734,75072000,38242206
09009142604,09,Connecticut,009,New Haven County,142604,1109,1128,43,1030,952,107,79,176,103,457,425,108,573,527,94,473,101,538,143,117,62,0,12,56,58,28,35,0,12,0,12,181300,18555,91363800,18287558
09009142700,09,Connecticut,009,New Haven County,142700,2662,2782,74,2456,2432,183,206,350,176,1553,1536,263,903,896,170,749,181,1772,355,261,165,0,17,52,64,39,50,0,17,0,17,172300,17892,156008000,32394344
09009142800,09,Connecticut,009,New Haven County,142800,2161,2155,71,2025,2010,129,136,145,113,442,608,188,1583,1402,166,1701,190,424,184,30,36,0,12,0,12,20,26,0,12,0,12,208900,10208,280693800,38169999
09009150100,09,Connecticut,009,New Haven County,150100,2196,2185,85,2019,2034,140,177,151,118,1008,1045,191,1011,989,151,1044,159,651,191,490,158,0,12,13,24,0,12,15,24,0,12,330200,39545,381439300,100529914
09009150200,09,Connecticut,009,New Haven County,150200,1577,1589,59,1451,1337,103,126,252,96,645,589,129,806,748,107,1044,124,369,115,176,77,0,12,11,18,58,40,43,53,0,12,281300,14108,230248000,36628294
09009150300,09,Connecticut,009,New Haven County,150300,1736,1781,50,1658,1750,58,78,31,38,436,526,123,1222,1224,127,1359,123,191,83,204,77,27,33,0,12,16,17,0,12,0,12,260100,11380,314184800,39744153
09009150400,09,Connecticut,009,New Haven County,150400,2118,2179,58,1977,1866,122,141,313,122,787,785,123,1190,1081,92,1327,159,482,129,364,106,6,10,9,18,45,49,28,45,0,12,247000,15477,292043700,48995753
09009150500,09,Connecticut,009,New Haven County,150500,1756,1800,45,1642,1643,94,114,157,83,249,235,71,1393,1408,95,1613,90,174,83,13,20,0,12,0,12,11,19,0,12,0,12,310000,23286,520488600,61279545
09009150600,09,Connecticut,009,New Haven County,150600,2591,2643,68,2470,2580,100,121,63,77,301,371,147,2169,2209,145,2132,183,146,89,365,140,0,17,11,28,133,103,0,17,0,17,334300,18764,759817900,73705212
09009150700,09,Connecticut,009,New Haven County,150700,1540,1567,45,1501,1567,45,39,0,12,126,184,67,1375,1383,80,1440,75,62,56,65,44,0,12,0,12,0,12,0,12,0,12,359500,14093,530447000,85595637
09009150800,09,Connecticut,009,New Haven County,150800,1699,1674,62,1662,1621,77,37,53,51,340,305,78,1322,1316,97,1189,113,218,78,267,74,0,12,27,44,20,17,0,12,0,12,282700,13605,399834800,42447446
09009150900,09,Connecticut,009,New Haven County,150900,1617,1636,49,1524,1490,87,93,146,79,215,206,79,1309,1284,98,1441,98,146,73,49,44,0,12,0,12,18,19,0,12,7,12,363200,16815,601609400,84685480
09009151000,09,Connecticut,009,New Haven County,151000,2082,2079,68,1878,1840,105,204,239,112,478,335,106,1400,1505,117,1521,118,282,115,276,81,0,12,0,12,10,19,0,12,0,12,282100,20441,622047900,154739732
09009151100,09,Connecticut,009,New Haven County,151100,2861,2830,97,2661,2556,120,200,274,107,487,577,140,2174,1979,152,2160,124,268,111,399,130,3,5,0,17,29,25,20,22,0,17,332600,16509,803814000,166876319
09009151200,09,Connecticut,009,New Haven County,151200,1301,1323,36,1265,1265,59,36,58,55,85,77,41,1180,1188,70,1073,104,71,44,9,18,170,47,0,12,19,19,0,12,0,12,276200,33937,308310700,22953948
09009154100,09,Connecticut,009,New Haven County,154100,3143,3242,136,2919,2921,173,224,321,156,1210,1284,215,1709,1637,198,1762,254,827,242,653,217,0,17,15,30,34,43,0,17,0,17,168400,16530,309893900,56133734
09009154200,09,Connecticut,009,New Haven County,154200,2891,2968,114,2781,2653,168,110,315,154,1687,1704,225,1094,949,161,762,177,873,230,1333,326,0,17,208,109,44,58,33,55,0,17,185000,13644,158749300,36343873
09009154500,09,Connecticut,009,New Haven County,154500,1979,1916,107,1860,1699,124,119,217,112,1198,1166,145,662,533,100,560,128,990,201,366,97,0,12,112,72,18,24,0,12,0,12,162900,11596,121951800,54682939
09009154600,09,Connecticut,009,New Haven County,154600,1771,1726,82,1663,1558,102,108,168,92,885,780,112,778,778,95,917,130,409,141,378,132,0,12,54,52,17,23,0,12,0,12,199700,19853,157318500,27823745
09009154700,09,Connecticut,009,New Haven County,154700,2580,2428,98,2494,2342,105,86,86,63,260,238,102,2234,2104,136,2184,133,141,85,69,43,34,37,46,46,12,27,0,17,0,17,239000,13276,512567000,39135339
09009154800,09,Connecticut,009,New Haven County,154800,2119,2072,73,2029,1833,129,90,239,140,182,84,62,1847,1749,142,1924,114,148,105,0,12,0,12,22,40,18,31,0,12,16,27,213200,7714,367441300,38760678
09009154900,09,Connecticut,009,New Haven County,154900,1726,1653,68,1616,1441,103,110,212,103,678,548,109,938,893,93,845,103,448,120,352,96,0,12,32,41,26,25,19,32,0,12,190700,21086,167788700,21204731
09009155000,09,Connecticut,009,New Haven County,155000,2284,2289,79,2133,2035,159,151,254,139,1059,1147,199,1074,888,151,981,164,1149,255,117,73,42,66,0,17,16,32,0,17,0,17,169900,15220,158848600,31843928
09009155100,09,Connecticut,009,New Haven County,155100,1895,1811,86,1696,1611,122,199,200,88,972,876,122,724,735,120,634,133,587,154,590,133,0,12,0,12,101,65,0,12,0,12,176300,16456,136636800,25118937
09009157100,09,Connecticut,009,New Haven County,157100,1191,1135,41,1081,1071,60,110,64,54,376,369,72,705,702,64,740,80,75,41,283,84,37,37,0,12,0,12,0,12,0,12,408700,29928,304365000,41827639
09009157200,09,Connecticut,009,New Haven County,157200,1383,1291,42,1354,1291,42,29,0,12,77,68,39,1277,1223,52,1265,49,20,20,0,12,6,10,8,17,0,12,0,12,0,12,383700,11442,508616400,51044938
09009157300,09,Connecticut,009,New Haven County,157300,1196,1126,62,1168,1108,64,28,18,20,55,92,61,1113,1016,74,1096,68,30,40,0,12,0,12,0,12,11,22,0,12,0,12,386400,18203,437236800,46157249
09009157400,09,Connecticut,009,New Haven County,157400,1575,1485,47,1520,1449,51,55,36,45,86,123,62,1434,1326,81,1440,64,45,44,0,12,0,12,0,12,0,12,0,12,9,15,368800,10837,616775000,93729827
09009160100,09,Connecticut,009,New Haven County,160100,1272,1177,70,1242,1125,71,30,52,41,49,60,42,1193,1065,87,1177,71,0,12,0,12,0,12,8,17,0,12,0,12,0,12,466200,24654,544081000,57042972
09009160200,09,Connecticut,009,New Haven County,160200,2206,1942,125,2094,1809,125,112,133,93,429,179,79,1665,1630,115,1745,125,105,67,92,72,0,17,0,17,0,17,36,57,0,17,500900,46556,844550800,83787508
09009161100,09,Connecticut,009,New Haven County,161100,2044,2017,113,1971,1999,106,73,18,29,140,192,74,1831,1807,123,1914,107,29,42,0,17,74,36,0,17,0,17,7,12,0,17,343500,21985,615098300,47625697
09009165100,09,Connecticut,009,New Haven County,165100,1602,1665,52,1512,1579,75,90,86,71,372,364,95,1140,1215,101,1294,107,255,107,116,74,0,12,0,12,70,59,22,25,0,12,207300,15343,248068200,26764454
09009165200,09,Connecticut,009,New Haven County,165200,1167,1139,45,1118,1012,85,49,127,70,264,194,55,854,818,83,918,74,68,52,150,53,3,7,23,21,14,16,0,12,0,12,349900,15305,314201000,40281589
09009165300,09,Connecticut,009,New Haven County,165300,1065,1067,38,1014,1026,54,51,41,41,155,260,95,859,766,90,718,79,231,99,118,55,0,12,0,12,38,34,0,12,0,12,279200,12011,210659000,24036106
09009165400,09,Connecticut,009,New Haven County,165400,2638,2712,100,2466,2484,172,172,228,151,1061,1095,193,1405,1389,175,1111,176,631,191,970,188,0,12,0,12,91,93,25,37,0,12,224400,18700,353455000,53553285
09009165500,09,Connecticut,009,New Haven County,165500,1934,2115,70,1769,1850,107,165,265,98,948,1027,159,821,823,143,894,178,1184,217,37,29,0,12,32,30,43,31,19,30,0,12,172500,17455,149032300,31916643
09009165600,09,Connecticut,009,New Haven County,165600,2327,2353,78,2174,2095,160,153,258,139,846,722,196,1328,1373,161,1546,172,757,212,50,48,0,17,0,17,36,59,0,17,0,17,168100,5393,251460700,52930070
09009165700,09,Connecticut,009,New Haven County,165700,1538,1633,44,1486,1456,107,52,177,101,196,352,150,1290,1104,119,1282,121,197,126,154,88,0,12,0,12,0,12,0,12,0,12,164300,4568,173032200,20208945
09009165801,09,Connecticut,009,New Haven County,165801,2851,2935,99,2643,2597,165,208,338,135,1733,1813,187,910,784,166,793,171,552,187,1554,285,36,55,219,128,70,46,0,17,0,17,214300,15849,178579000,52696277
09009165802,09,Connecticut,009,New Haven County,165802,1543,1555,57,1491,1500,68,52,55,58,70,28,25,1421,1472,69,1555,58,0,12,0,12,0,12,0,12,39,43,39,42,0,12,246400,12714,411689100,54484049
09009165900,09,Connecticut,009,New Haven County,165900,2752,2816,85,2687,2724,120,65,92,74,166,148,76,2521,2576,141,2643,134,115,69,58,58,0,17,26,47,19,35,0,17,0,17,307100,17655,825770600,66736567
09009166001,09,Connecticut,009,New Haven County,166001,3605,3497,120,3365,3231,148,240,266,123,1997,1796,233,1368,1435,201,1282,180,440,167,1775,296,0,17,83,75,97,58,34,55,0,17,207600,10718,273003000,44875701
09009166002,09,Connecticut,009,New Haven County,166002,2092,2020,94,2002,1802,132,90,218,128,360,222,96,1642,1580,144,1554,136,102,76,364,117,0,17,0,17,0,17,0,17,0,17,238200,14081,424184500,74404064
09009167100,09,Connecticut,009,New Haven County,167100,3234,3060,105,3079,2923,140,155,137,115,514,638,135,2565,2285,151,2547,182,135,124,378,156,0,17,0,17,26,28,0,17,86,90,340300,14437,895244600,79743384
09009167201,09,Connecticut,009,New Haven County,167201,1746,1631,63,1682,1467,101,64,164,94,369,220,66,1313,1247,100,1314,108,142,62,175,77,0,12,14,19,10,19,0,12,0,12,264800,8921,339176000,33059323
09009167202,09,Connecticut,009,New Haven County,167202,1840,1728,61,1780,1677,69,60,51,49,375,419,106,1405,1258,118,1416,127,99,67,213,71,0,12,17,22,7,16,0,12,0,12,273100,7449,334150500,34138689
09009167300,09,Connecticut,009,New Haven County,167300,2671,2496,103,2594,2300,132,77,196,131,210,121,65,2384,2179,140,2308,127,130,91,58,34,0,17,34,46,0,17,0,17,0,17,320500,16944,712861300,78518181
09009170100,09,Connecticut,009,New Haven County,170100,818,941,38,745,720,86,73,221,66,714,701,89,31,19,18,40,25,495,106,402,93,0,12,56,39,85,45,13,21,0,12,152100,147483,,
09009170200,09,Connecticut,009,New Haven County,170200,1299,1455,74,1161,1142,133,138,313,100,992,963,121,169,179,79,220,87,582,148,653,122,0,12,11,18,25,32,75,58,0,12,178500,16541,,
09009170300,09,Connecticut,009,New Haven County,170300,899,1068,39,713,778,89,186,290,67,427,525,103,286,253,69,369,82,693,122,6,14,0,12,22,22,64,46,63,41,0,12,155900,19797,45310800,15452791
09009170400,09,Connecticut,009,New Haven County,170400,736,825,40,685,676,84,51,149,61,286,230,58,399,446,88,483,68,286,85,56,38,0,12,0,12,19,19,0,12,0,12,160800,5497,68249300,12994613
09009170500,09,Connecticut,009,New Haven County,170500,2235,2520,85,2176,2440,124,59,80,83,229,250,102,1947,2190,122,2276,121,244,124,0,17,0,17,34,55,61,58,0,17,0,17,219100,9550,895845100,470697176
09009170600,09,Connecticut,009,New Haven County,170600,1121,1284,52,1071,1150,114,50,134,85,484,499,105,587,651,88,725,107,382,117,177,73,0,12,20,26,0,12,51,52,0,12,165300,14269,110613000,19344126
09009170700,09,Connecticut,009,New Haven County,170700,1059,1221,45,961,1010,92,98,211,66,328,348,88,633,662,90,604,89,571,107,28,26,18,25,21,30,12,14,55,42,0,12,167200,7487,118500900,22305051
09009170800,09,Connecticut,009,New Haven County,170800,2481,2791,109,2280,2409,203,201,382,168,896,978,226,1384,1431,168,1459,171,666,243,617,189,49,35,23,40,35,40,186,136,0,17,142500,12311,196846500,24203249
09009170900,09,Connecticut,009,New Haven County,170900,816,921,36,696,604,105,120,317,85,457,423,93,239,181,70,190,66,710,126,21,36,0,12,22,27,0,12,49,44,0,12,159300,8012,27998000,11378195
09009171000,09,Connecticut,009,New Haven County,171000,917,1064,31,823,735,79,94,329,65,713,643,81,110,92,44,142,62,446,106,476,90,0,12,0,12,42,32,64,41,0,12,156700,14742,15853000,8124574
09009171100,09,Connecticut,009,New Haven County,171100,2523,2886,74,2355,2546,185,168,340,159,720,958,280,1635,1588,205,1694,226,724,287,468,174,0,17,21,37,68,56,90,103,0,17,169500,7278,270682400,35608210
09009171200,09,Connecticut,009,New Haven County,171200,3285,3757,113,3168,3538,185,117,219,118,430,531,172,2738,3007,199,3113,207,173,101,471,159,0,17,0,17,0,17,0,17,0,17,205700,14425,631757500,52576756
09009171300,09,Connecticut,009,New Haven County,171300,1519,1761,41,1433,1508,98,86,253,79,516,434,108,917,1074,138,1180,117,512,130,69,51,0,12,127,75,19,26,48,44,0,12,166300,7748,173211600,23635552
09009171400,09,Connecticut,009,New Haven County,171400,910,1040,35,818,799,74,92,241,61,558,629,82,260,170,39,222,56,634,108,184,45,0,12,24,27,46,30,12,19,0,12,135800,14224,27673500,9972559
09009171500,09,Connecticut,009,New Haven County,171500,1414,1655,58,1250,1220,131,164,435,100,860,839,133,390,381,120,299,89,1106,220,250,87,0,12,73,55,45,52,35,40,0,12,136100,17414,61855000,25503593
09009171600,09,Connecticut,009,New Haven County,171600,2190,2488,77,2030,2110,181,160,378,158,596,742,205,1434,1368,178,1286,185,735,203,467,180,0,12,20,32,46,44,126,104,0,12,165500,8796,218942200,30624725
09009171700,09,Connecticut,009,New Haven County,171700,1670,1892,50,1612,1795,92,58,97,75,177,271,93,1435,1524,103,1475,110,378,110,28,45,11,16,0,12,19,31,28,43,0,12,184000,7546,302838500,27914079
09009175100,09,Connecticut,009,New Haven County,175100,1432,1425,71,1332,1210,103,100,215,96,688,522,119,644,688,93,691,109,701,141,33,43,0,12,0,12,7,17,23,37,0,12,240600,27877,159001800,24046145
09009175200,09,Connecticut,009,New Haven County,175200,1140,1161,54,1030,932,109,110,229,92,569,418,102,461,514,94,431,95,521,130,209,67,0,12,8,18,8,17,30,35,0,12,221300,18107,108543900,20764009
09009175300,09,Connecticut,009,New Haven County,175300,1839,1927,54,1772,1839,91,67,88,73,430,500,119,1342,1339,116,1355,114,335,120,213,93,24,39,14,24,60,55,0,12,0,12,246400,13182,314254500,26449583
09009175400,09,Connecticut,009,New Haven County,175400,1988,2096,63,1877,1743,137,111,353,134,945,964,134,932,779,132,950,164,852,181,276,98,18,15,31,30,75,49,0,12,0,12,211000,9806,162652100,28906732
09009175500,09,Connecticut,009,New Haven County,175500,3493,3584,88,3318,3321,175,175,263,140,899,925,200,2419,2396,195,2325,210,337,125,885,245,37,31,75,84,60,57,43,67,0,17,253500,14012,633973200,68286352
09009175600,09,Connecticut,009,New Haven County,175600,2026,2033,71,1947,1841,90,79,192,90,241,152,71,1706,1689,101,1597,102,193,73,115,62,128,58,8,17,18,18,73,64,8,13,247400,13373,410405800,25383165
09009175700,09,Connecticut,009,New Haven County,175700,942,969,31,909,911,46,33,58,41,139,196,63,770,715,64,850,74,113,62,6,16,0,12,6,14,21,17,0,12,0,12,285700,21900,203422000,18529952
09009175800,09,Connecticut,009,New Haven County,175800,1443,1514,56,1393,1470,67,50,44,47,94,104,64,1299,1366,100,1498,73,8,17,8,18,0,12,7,17,12,13,0,12,0,12,343400,17096,472803400,43550985
09009175900,09,Connecticut,009,New Haven County,175900,2264,2357,59,2136,2167,114,128,190,112,776,719,156,1360,1448,142,1356,156,548,202,453,128,0,17,62,73,59,59,0,17,0,17,240600,16899,374575300,71002695
09009176000,09,Connecticut,009,New Haven County,176000,2378,2478,69,2318,2461,76,60,17,28,111,147,101,2207,2314,113,2287,161,191,129,0,17,0,17,43,42,21,35,21,31,0,17,344500,13224,894681000,133835195
09009180100,09,Connecticut,009,New Haven County,180100,3292,3195,145,2915,2767,205,377,428,196,805,966,216,2110,1801,198,1967,260,589,202,579,201,60,79,20,38,50,44,42,69,21,24,205600,13649,389142000,43845945
09009180200,09,Connecticut,009,New Haven County,180200,2539,2542,113,2371,2284,170,168,258,146,1004,947,201,1367,1337,196,1567,198,601,228,374,151,0,17,100,106,58,45,44,69,12,19,194700,14805,249399900,40107100
09009180300,09,Connecticut,009,New Haven County,180300,1126,1116,43,1077,1016,78,49,100,74,553,551,88,524,465,64,520,69,290,110,306,82,0,12,32,41,39,38,0,12,0,12,224300,12281,118072000,26610219
09009180400,09,Connecticut,009,New Haven County,180400,975,961,39,947,896,52,28,65,42,171,152,40,776,744,57,818,51,48,27,95,29,0,12,0,12,0,12,0,12,0,12,226800,13237,201834200,74404762
09009180500,09,Connecticut,009,New Haven County,180500,1839,1833,68,1747,1688,101,92,145,87,407,319,95,1340,1369,103,1263,144,538,137,32,36,0,12,39,35,35,49,0,12,0,12,184800,19219,268889400,24782168
09009180601,09,Connecticut,009,New Haven County,180601,1260,1243,52,1230,1176,63,30,67,56,201,252,68,1029,924,81,1077,71,30,35,136,47,0,12,0,12,7,16,0,12,0,12,196900,9546,197148600,31638485
09009180602,09,Connecticut,009,New Haven County,180602,1502,1500,61,1469,1413,79,33,87,64,110,134,65,1359,1279,104,1183,124,184,61,133,60,0,12,26,27,35,47,9,14,0,12,233500,15074,288651600,28060934
09009184100,09,Connecticut,009,New Haven County,184100,2817,2670,132,2570,2443,162,247,227,141,1520,1503,200,1050,940,161,1017,184,872,231,781,183,0,17,0,17,94,65,79,88,18,28,272200,13364,265806200,55379361
09009184200,09,Connecticut,009,New Haven County,184200,1961,1953,58,1865,1847,90,96,106,68,545,701,111,1320,1146,129,1027,139,565,133,345,123,16,13,43,40,63,58,0,12,0,12,172700,7199,214858000,28013923
09009184300,09,Connecticut,009,New Haven County,184300,2323,2298,65,2019,1897,149,304,401,149,576,378,144,1443,1519,159,1634,248,399,127,265,129,0,12,0,12,49,43,101,118,71,95,310000,28737,635323400,132142542
09009184400,09,Connecticut,009,New Haven County,184400,1815,1803,59,1599,1476,87,216,327,82,448,443,91,1151,1033,93,1430,115,278,85,95,47,0,12,0,12,44,41,26,40,0,12,396700,44548,513744500,70629304
09009184500,09,Connecticut,009,New Haven County,184500,1043,1026,44,1000,963,57,43,63,50,110,111,64,890,852,80,938,68,43,47,45,26,0,12,0,12,7,16,0,12,0,12,362500,20992,403359000,113641606
09009184600,09,Connecticut,009,New Haven County,184600,1409,1383,55,1191,1172,92,218,211,91,228,152,70,963,1020,94,1254,83,90,55,0,12,39,36,0,12,0,12,0,12,0,12,427800,46852,604013100,87944974
09009184700,09,Connecticut,009,New Haven County,184700,2604,2584,94,2495,2466,111,109,118,100,370,645,180,2125,1821,177,1550,182,586,172,195,130,253,89,13,27,26,31,0,17,0,17,239700,22256,458466600,50113570
09009186100,09,Connecticut,009,New Haven County,186100,3041,3180,140,2908,2920,156,133,260,138,494,351,107,2414,2569,160,2275,182,500,148,344,111,61,28,9,23,0,17,0,17,0,17,261900,16212,716997400,63096688
09009186200,09,Connecticut,009,New Haven County,186200,2588,2633,124,2533,2538,125,55,95,105,270,289,118,2263,2249,141,2418,126,215,104,0,17,0,17,0,17,66,53,48,75,0,17,296100,12703,901208200,215630072
09009190100,09,Connecticut,009,New Haven County,190100,1622,1573,51,1491,1464,73,131,109,56,481,501,86,1010,963,90,1081,98,435,111,57,39,0,12,0,12,0,12,12,21,0,12,370700,18489,379789500,42934246
09009190200,09,Connecticut,009,New Haven County,190200,1936,1890,52,1472,1522,115,464,368,122,293,319,86,1179,1203,114,1657,104,58,45,175,62,0,12,7,17,14,24,11,16,0,12,491600,44178,794660800,151657103
09009190301,09,Connecticut,009,New Haven County,190301,2497,2324,99,2410,2305,94,87,19,31,158,101,80,2252,2204,110,2258,126,48,47,18,33,0,17,0,17,0,17,17,27,0,17,422500,31391,1030124300,103943226
09009190302,09,Connecticut,009,New Haven County,190302,2187,2171,66,2073,2024,117,114,147,121,225,171,92,1848,1853,146,2028,105,143,99,0,17,0,17,0,17,37,44,0,17,0,17,342300,15647,663153000,52501951
