"Station (alphabetical by borough)","2013","2014","2015","2016","2017","2018","2017-2018 Change","...9","2018 Rank","Borough","na"
"Nereid Av ",3878,3850,3817,3753,3631,3437,-194,-0.053,344,"The Bronx",FALSE
"Norwood-205 St ",8043,8466,8640,8897,8751,8429,-322,-0.037,181,"The Bronx",FALSE
"Parkchester ",16614,17746,16572,16561,16310,15660,-650,-0.04,90,"The Bronx",FALSE
"Pelham Bay Park ",6772,7442,7432,7213,7185,7001,-184,-0.026,219,"The Bronx",FALSE
"Pelham Pkwy ",9614,9688,9774,9441,9173,8472,-701,-0.076,180,"The Bronx",FALSE
"Pelham Pkwy ",3254,3304,3303,3332,3237,3083,-154,-0.048,367,"The Bronx",FALSE
"Prospect Av ",7424,7857,7908,8004,7704,7038,-666,-0.086,217,"The Bronx",FALSE
"Simpson St ",9672,9948,9981,9680,9446,8477,-969,-0.103,178,"The Bronx",FALSE
"St Lawrence Av ",3995,4099,4185,4187,4196,4040,-156,-0.037,321,"The Bronx",FALSE
"Tremont Av ",9157,9727,9980,10246,10055,10398,343,0.034,152,"The Bronx",FALSE
"Van Cortlandt Park-242 St ",6943,7107,7338,7431,7396,7742,346,0.047,193,"The Bronx",FALSE
"Wakefield-241 St",4825,5168,5186,5213,5129,4763,-366,-0.071,295,"The Bronx",FALSE
"West Farms Sq-East Tremont Av ",7979,8170,8010,7848,7657,6866,-791,-0.103,226,"The Bronx",FALSE
"Westchester Sq-East Tremont Av ",6820,7351,6912,6635,6479,6097,-382,-0.059,249,"The Bronx",FALSE
"Whitlock Av ",1685,1707,1737,1830,1905,1894,-11,-0.006,399,"The Bronx",FALSE
"Woodlawn ",7776,7683,7637,7623,7260,6937,-323,-0.044,222,"The Bronx",FALSE
"Zerega Av ",3253,2012,1647,2629,2664,2629,-35,-0.013,379,"The Bronx",FALSE
"15 St-Prospect Park ",6448,6495,6385,6342,6272,6136,-136,-0.022,247,"Brooklyn",FALSE
"18 Av ",6162,6326,6242,6413,6196,6136,-60,-0.01,248,"Brooklyn",FALSE
"18 Av ",4204,4050,4458,4440,4318,3947,-371,-0.086,325,"Brooklyn",FALSE
"18 Av ",5092,5491,5502,2266,3107,3097,-10,-0.003,366,"Brooklyn",FALSE
"20 Av ",4859,4930,5115,5268,5009,4905,-104,-0.021,288,"Brooklyn",FALSE
"20 Av",4190,4277,4223,1348,2139,3514,1375,0.643,341,"Brooklyn",FALSE
"25 Av ",4607,4761,4886,6507,5790,5083,-707,-0.122,284,"Brooklyn",FALSE
"25 St ",3821,3959,3847,3788,4547,3755,-792,-0.174,331,"Brooklyn",FALSE
"36 St ",12059,12497,12810,13180,13894,13493,-401,-0.029,111,"Brooklyn",FALSE
"4 Av ",13156,12835,13126,13116,13962,12560,-1402,-0.1,123,"Brooklyn",FALSE
"45 St ",6978,7208,7265,7055,7877,7205,-672,-0.085,209,"Brooklyn",FALSE
"50 St ",3308,3289,3220,3336,3236,3195,-41,-0.013,359,"Brooklyn",FALSE
"53 St ",7479,7512,7458,7386,3788,7565,3777,0.997,200,"Brooklyn",FALSE
"55 St ",1964,1981,2002,2223,2106,2185,79,0.038,388,"Brooklyn",FALSE
"59 St ",12506,12871,13048,13144,16759,12301,-4458,-0.266,126,"Brooklyn",FALSE
"7 Av ",9389,9495,9641,9731,10270,10210,-60,-0.006,157,"Brooklyn",FALSE
"7 Av ",12268,12242,12049,11897,11801,11636,-165,-0.014,131,"Brooklyn",FALSE
"71 St ",4538,4682,4802,6501,5905,5607,-298,-0.05,267,"Brooklyn",FALSE
"77 St ",5353,5548,5608,5720,6746,5612,-1134,-0.168,266,"Brooklyn",FALSE
"79 St ",6293,6617,6755,6973,6565,6177,-388,-0.059,245,"Brooklyn",FALSE
"8 Av ",10873,11341,11430,14201,12514,11474,-1040,-0.083,133,"Brooklyn",FALSE
"86 St ",2515,2622,2718,1298,1534,1928,394,0.257,397,"Brooklyn",FALSE
"86 St ",11648,11920,11963,12078,11742,11338,-404,-0.034,136,"Brooklyn",FALSE
"9 Av ",5857,6004,5856,5867,5471,5344,-127,-0.023,275,"Brooklyn",FALSE
"Alabama Av ",2443,2448,2520,2585,2424,2147,-277,-0.114,389,"Brooklyn",FALSE
"Atlantic Av ",1580,1725,1384,1455,1821,1842,21,0.012,400,"Brooklyn",FALSE
"Atlantic Av-Barclays Ctr (",39871,41645,42231,42711,42095,43211,1116,0.027,19,"Brooklyn",FALSE
"Avenue H ",2861,2961,2994,3183,3329,3418,89,0.027,345,"Brooklyn",FALSE
"Avenue I ",2283,2250,2235,1962,1111,1096,-15,-0.014,414,"Brooklyn",FALSE
"Avenue J ",6036,6060,6009,6136,6154,6058,-96,-0.016,250,"Brooklyn",FALSE
"Avenue M ",5836,5903,5869,6052,6094,6001,-93,-0.015,255,"Brooklyn",FALSE
"Avenue N ",3411,3419,3410,3187,2217,2087,-130,-0.059,392,"Brooklyn",FALSE
"Avenue P ",2757,2767,2804,2688,1821,1710,-111,-0.061,408,"Brooklyn",FALSE
"Avenue U ",2296,2215,2439,2578,1276,1042,-234,-0.183,415,"Brooklyn",FALSE
"Avenue U ",3738,3857,3894,1399,2285,2627,342,0.15,380,"Brooklyn",FALSE
"Avenue U ",6821,6922,6975,7384,7391,7323,-68,-0.009,203,"Brooklyn",FALSE
"Avenue X ",2972,2859,1928,2424,2508,2662,154,0.061,378,"Brooklyn",FALSE
"Bay 50 St ",2793,2875,2872,3176,2926,2674,-252,-0.086,377,"Brooklyn",FALSE
"Bay Pkwy ",7111,7322,7501,8069,7837,7719,-118,-0.015,194,"Brooklyn",FALSE
"Bay Pkwy ",1575,1516,1491,1329,729,623,-106,-0.145,421,"Brooklyn",FALSE
"Bay Pkwy ",6990,7301,7164,10955,9328,7261,-2067,-0.222,206,"Brooklyn",FALSE
"Bay Ridge Av ",8079,8283,8379,8415,4173,7236,3063,0.734,208,"Brooklyn",FALSE
"Bay Ridge-95 St ",5974,6051,6101,6090,5969,5812,-157,-0.026,258,"Brooklyn",FALSE
"Bedford Av ",25755,27224,27132,27486,27783,26603,-1180,-0.042,39,"Brooklyn",FALSE
"Bedford-Nostrand Avs ",7300,7778,8197,8487,8741,8821,80,0.009,173,"Brooklyn",FALSE
"Bergen St ",4070,3923,3823,3884,3853,3653,-200,-0.052,335,"Brooklyn",FALSE
"Bergen St ",11562,11570,11548,11529,11306,11174,-132,-0.012,137,"Brooklyn",FALSE
"Beverley Rd",2340,2690,2894,3059,3267,3350,83,0.025,349,"Brooklyn",FALSE
"Beverly Rd ",4375,4447,4457,4464,4384,4255,-129,-0.029,319,"Brooklyn",FALSE
"Brighton Beach ",12185,12498,12794,13035,12587,12065,-522,-0.041,128,"Brooklyn",FALSE
"Broadway ",3368,3500,4011,4340,4452,4467,15,0.003,312,"Brooklyn",FALSE
"Broadway Junction ",8863,9149,9251,9189,8681,8142,-539,-0.062,186,"Brooklyn",FALSE
"Bushwick Av-Aberdeen St ",1509,1683,1874,2105,2112,2079,-33,-0.016,394,"Brooklyn",FALSE
"Canarsie-Rockaway Pkwy ",13254,13512,13481,13131,12661,11947,-714,-0.056,130,"Brooklyn",FALSE
"Carroll St ",12339,11744,11923,11848,11723,11562,-161,-0.014,132,"Brooklyn",FALSE
