"State_name","URBANIZED_AREA_POP_CEN_2010","URBAN_CLUSTER_POP_CEN_2010","RURAL_POP_CEN_2010","Tot_Population_CEN_2010","Sngl_Prns_HHD_CEN_2010","Tot_Prns_in_HHD_CEN_2010","Tot_Housing_Units_CEN_2010","Tot_Occp_Units_ACS_14_18","Tot_Occp_Units_CEN_2010","Single_Unit_ACS_14_18","MLT_U2_9_STRC_ACS_14_18","MLT_U10p_ACS_14_18","Mobile_Homes_ACS_14_18","Crowd_Occp_U_ACS_14_18","Tot_Housing_Units_ACS_14_18"
"South Carolina",5160090,975528,3115110,9250728,955788,8972420,4275366,3789422,3602362,2974240,414534,379402,742394,70726,4513902
"South Dakota",487174,435320,705866,1628360,189276,1560260,726876,683130,644564,556330,68600,82488,67452,14532,775274
"Tennessee",6901430,1525060,4265720,12692210,1342572,12385266,5624266,5134122,4987104,4195526,631860,482584,545958,101906,5861060
"Texas",37895914,4700164,7695044,50291122,4326532,49128844,19954872,19106092,17845866,14599594,2130528,3219262,1555374,914370,21539800
"Utah",4486882,520308,520580,5527770,328036,5435466,1959418,1915238,1755384,1593284,228522,235194,73884,67782,2132262
"Vermont",217480,269290,764712,1251482,144466,1200824,645078,519178,512884,469898,111028,39132,45740,9514,666026
"Virginia",11168078,906110,3927860,16002048,1590234,15522380,6729878,6256830,6112116,5074432,634150,910778,360594,124180,6982182
"Washington",10082950,1220788,2145342,13449080,1423238,13170330,5771354,5600846,5240152,4118414,646348,959108,391846,183424,6128762
"West Virginia",1230508,575112,1900368,3705988,434616,3607224,1763834,1469352,1527662,1298328,136972,76398,268680,21084,1781430
"Wisconsin",6346764,1632512,3394696,11373972,1285014,11073544,5248716,4686258,4559536,3797260,809110,568646,186086,79040,5362464
"Wyoming",276272,453714,397266,1127252,126960,1099828,523736,461260,453758,387434,54956,31878,74850,10172,549970
